City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Shingu,JP,2021-09-23 01:16:57,33.7333,135.9833,81.59,44,0,0.67,clear sky
202,Cidreira,BR,2021-09-23 01:16:58,-30.1811,-50.2056,62.4,69,94,17.22,overcast clouds
203,Nerchinskiy Zavod,RU,2021-09-23 01:16:58,51.3088,119.61,54.1,68,100,5.08,overcast clouds
204,Bakel,SN,2021-09-23 01:16:58,14.905,-12.4568,83.34,71,98,10.51,overcast clouds
205,Sabha,LY,2021-09-23 01:10:51,27.0377,14.4283,81.54,14,0,7.9,clear sky
206,Bubaque,GW,2021-09-23 01:16:59,11.2833,-15.8333,81.54,81,100,7.31,overcast clouds
207,Kutum,SD,2021-09-23 01:16:59,14.2,24.6667,80.01,45,100,10.27,overcast clouds
208,Paamiut,GL,2021-09-23 01:17:00,61.994,-49.6678,34.05,81,92,10.8,overcast clouds
209,Beloha,MG,2021-09-23 01:17:00,-25.1667,45.05,66.87,82,100,9.66,overcast clouds
210,Kruisfontein,ZA,2021-09-23 01:17:00,-34.0033,24.7314,58.37,52,100,5.73,overcast clouds
211,Saint-Pierre,RE,2021-09-23 01:17:01,-21.3393,55.4781,67.64,65,20,6.91,few clouds
212,Goulburn,AU,2021-09-23 01:17:01,-34.75,149.7167,63.59,63,1,16.96,clear sky
213,Adrar,MR,2021-09-23 01:17:01,20.5022,-10.0711,88.18,19,69,13.33,broken clouds
214,Tornio,FI,2021-09-23 01:17:02,65.8481,24.1466,46.42,78,100,20.49,light rain
215,Ystad,SE,2021-09-23 01:17:02,55.4297,13.8204,58.98,94,100,17.34,overcast clouds
216,Stokmarknes,NO,2021-09-23 01:17:02,68.5646,14.9108,50.38,79,68,17.16,broken clouds
217,Hirara,JP,2021-09-23 01:17:03,24.8,125.2833,86.27,74,40,5.75,scattered clouds
218,La Ronge,CA,2021-09-23 01:17:03,55.1001,-105.2842,57.42,76,90,2.3,overcast clouds
219,Tongren,CN,2021-09-23 01:17:04,27.7172,109.1853,80.19,78,0,2.28,clear sky
220,Ankazoabo,MG,2021-09-23 01:17:04,-22.2833,44.5167,62.22,84,1,9.01,clear sky
221,Staryy Nadym,RU,2021-09-23 01:17:04,65.6118,72.6842,38.97,94,100,13.47,light rain
222,Grand Forks,US,2021-09-23 01:15:07,47.9417,-97.4337,66.78,42,20,10.36,few clouds
